Layer name, IFMAP Height, IFMAP Width, Filter Height, Filter Width, Channels, Num Filter, Strides,

Conv1, 34, 34, 3, 3, 3, 16, 1,
L1B0C1, 34, 34, 3, 3, 16, 10, 1,
L1B0C2, 34, 34, 3, 3, 10, 16, 1,
L1B1C1, 34, 34, 3, 3, 16, 12, 1,
L1B1C2, 34, 34, 3, 3, 12, 16, 1,
L1B2C1, 34, 34, 3, 3, 16, 1, 1,
L1B2C2, 34, 34, 3, 3, 1, 16, 1,
L1B3C1, 34, 34, 3, 3, 16, 8, 1,
L1B3C2, 34, 34, 3, 3, 8, 16, 1,
L1B4C1, 34, 34, 3, 3, 16, 6, 1,
L1B4C2, 34, 34, 3, 3, 6, 16, 1,
L1B5C1, 34, 34, 3, 3, 16, 5, 1,
L1B5C2, 34, 34, 3, 3, 5, 16, 1,
L1B6C1, 34, 34, 3, 3, 16, 4, 1,
L1B6C2, 34, 34, 3, 3, 4, 16, 1,
L1B7C1, 34, 34, 3, 3, 16, 1, 1,
L1B7C2, 34, 34, 3, 3, 1, 16, 1,
L1B8C1, 34, 34, 3, 3, 16, 1, 1,
L1B8C2, 34, 34, 3, 3, 1, 16, 1,

L2B0C1, 34, 34, 3, 3, 16, 28, 2,
L2B0C2, 18, 18, 3, 3, 28, 32, 1,
L2B1C1, 18, 18, 3, 3, 32, 8, 1,
L2B1C2, 18, 18, 3, 3, 8, 32, 1,
L2B2C1, 18, 18, 3, 3, 32, 6, 1,
L2B2C2, 18, 18, 3, 3, 6, 32, 1,
L2B3C1, 18, 18, 3, 3, 32, 7, 1,
L2B3C2, 18, 18, 3, 3, 7, 32, 1,
L2B4C1, 18, 18, 3, 3, 32, 20, 1,
L2B4C2, 18, 18, 3, 3, 20, 32, 1,
L2B5C1, 18, 18, 3, 3, 32, 20, 1,
L2B5C2, 18, 18, 3, 3, 20, 32, 1,
L2B6C1, 18, 18, 3, 3, 32, 17, 1,
L2B6C2, 18, 18, 3, 3, 17, 32, 1,
L2B7C1, 18, 18, 3, 3, 32, 16, 1,
L2B7C2, 18, 18, 3, 3, 16, 32, 1,
L2B8C1, 18, 18, 3, 3, 32, 12, 1,
L2B8C2, 18, 18, 3, 3, 12, 32, 1,

L3B0C1, 18, 18, 3, 3, 32, 61, 2,
L3B0C2, 10, 10, 3, 3, 61, 64, 1,
L3B1C1, 10, 10, 3, 3, 64, 49, 1,
L3B1C2, 10, 10, 3, 3, 49, 64, 1,
L3B2C1, 10, 10, 3, 3, 64, 27, 1,
L3B2C2, 10, 10, 3, 3, 27, 64, 1,
L3B3C1, 10, 10, 3, 3, 64, 46, 1,
L3B3C2, 10, 10, 3, 3, 46, 64, 1,
L3B4C1, 10, 10, 3, 3, 64, 38, 1,
L3B4C2, 10, 10, 3, 3, 38, 64, 1,
L3B5C1, 10, 10, 3, 3, 64, 38, 1,
L3B5C2, 10, 10, 3, 3, 38, 64, 1,
L3B6C1, 10, 10, 3, 3, 64, 35, 1,
L3B6C2, 10, 10, 3, 3, 35, 64, 1,
L3B7C1, 10, 10, 3, 3, 64, 28, 1,
L3B7C2, 10, 10, 3, 3, 28, 64, 1,
L3B8C1, 10, 10, 3, 3, 64, 1, 1,
L3B8C2, 10, 10, 3, 3, 1, 64, 1,

FC1, 1, 1, 1, 1, 64, 10, 1,
